Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,AverageCost,Average Faculty Salary,ExpenditurePerStudent,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,MedianDebtOnGraduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,MeanEarnings8YearsAfterEntry,MedianEarnings8YearsAfterEntry,Rank
University of California-Los Angeles,3,4,Public,Far West,Large City,0.2199,28,1289,28667,0.2859,0.0261,0.1842,0.3099,0.0012,0.0036,0.0482,0.1176,0.0206,31474,38489,15089,0.7082,0.3624,0.9031,0.9626,0.0532,2.2,15200,15900,13244.5,0.860000014,0.660000026,20.92000008,54271.79,34557.5,10.07999992,693,5287,60000,51000,18
Washington University in St Louis,3,4,Private,Great Plains,Large Suburb,0.1555,33,1474,6851,0.5529,0.0587,0.0558,0.1738,0.0013,0.0001,0.038,0.0775,0.0471,62594,97613,13286,0.6523,0.0616,0.9404,0.9642,0.0871,3,19500,20125,16742.5,0.99000001,0.230000004,21.38999939,97020.72,77947.5,6.170000076,100,1165,69500,58300,19
Emory University,3,4,Private,Southeast,Large Suburb,0.2633,31,1363,7705,0.4048,0.0924,0.0623,0.2204,0.0014,0.0001,0.0278,0.1508,0.0127,58180,33796,12133,0.6792,0.2192,0.8961,0.9438,0.031,2.4,19000,19500,12000,0.970000029,0.319999993,21.20000076,95403.45,64962,6.059999943,104,1047,72500,56900,20
Georgetown University,3,4,Private,Mid-Atlantic,Large City,0.1697,31,1398,7261,0.5886,0.0638,0.0788,0.0919,0.0014,0.0008,0.0394,0.1073,0.0281,59900,29282,12851,0.5314,0.1325,0.9245,0.9598,0.0597,0.9,17125,17500,12000,0.980000019,0.209999993,21.87000084,87179.34,60247,6.539999962,175,1668,100300,76200,21
University of California-Berkeley,3,4,Public,Far West,Mid-size City,0.18,30,1350,25951,0.2857,0.0221,0.132,0.3494,0.0012,0.0028,0.0453,0.1313,0.0282,32715,18072,14652,0.7304,0.3237,0.9103,0.9637,0.0621,3.8,14480,14667,14147,0.839999974,0.670000017,20.78000069,60121.12,39266,8.56000042,692,4340,62500,53000,22
University of Southern California,3,4,Private,Far West,Large City,0.1984,31,1380,18087,0.3812,0.0442,0.1355,0.2306,0.0013,0.0012,0.0475,0.1209,0.0281,59787,42077,13045,0.5727,0.2308,0.9117,0.9599,0.0377,1.8,21500,22841.5,17125,0.959999979,0.349999994,21.65999985,74599.85,42938,8.75,462,4462,74400,62300,23
Carnegie Mellon University,3,4,Private,Mid-Atlantic,Large City,0.2549,32,1432,5834,0.3877,0.0519,0.0754,0.2473,0.0005,0.0002,0.0415,0.1414,0.019,59710,24821,11055,0.9324,0.137,0.8799,0.9422,0.0166,0.9,23000,25000,14750,0.980000019,0.300000012,19.82999992,103727.25,90107.5,5.909999847,113,1139,90200,72200,24
The University of Virginia's College at Wise,3,3,Public,Southeast,Distant Town,0.7449,20,949,1585,0.8006,0.1028,0.0196,0.0082,0.0032,0,0.0044,0.0006,0.0833,18365,7137,6928,0.5679,0.3798,0.4314,0.7108,0.3937,12.3,12611,20700,8891,0.850000024,0.629999995,21.27000046,56884.88,48359.5,11.86999989,65,584,37500,35200,25
Tufts University,3,4,Private,New England,Large Suburb,0.1884,32,1428,5146,0.5657,0.0396,0.0639,0.1092,0.0004,0.0002,0.0433,0.0814,0.0054,58752,21026,11427,0.6361,0.1132,0.9219,0.964,0.0102,2.3,17300,18125,12250,0.980000019,0.189999998,21.42000008,86991.55,64738,6.119999886,95,837,69000,57400,26
University of Michigan-Ann Arbor,3,4,Public,Great Lakes,Mid-size City,0.3326,30,1352,28077,0.6272,0.0436,0.0412,0.1222,0.0016,0.0004,0.031,0.0667,0.0302,25760,22051,10509,0.8026,0.157,0.8997,0.9688,0.0198,2.1,21000,22000,15000,0.959999979,0.300000012,20.87999916,87306.5,69630,5.889999866,388,4565,65900,53400,27
Wake Forest University,3,4,Private,Southeast,Mid-size City,0.352,0,0,4812,0.76,0.065,0.0599,0.0486,0.0017,0.0006,0.0266,0.0374,0.0125,58260,26136,10928,0.8259,0.1202,0.8646,0.9294,0.0012,1.3,21000,22810,12750,0.959999979,0.270000011,19.37999916,124215.22,103314,5.329999924,38,595,66100,52800,28
New York University,3,4,Private,Mid-Atlantic,Large City,0.2605,30,1352,22172,0.3837,0.0467,0.1052,0.1837,0.0024,0.0009,0.0346,0.1363,0.0492,60059,28606,13434,0.4045,0.1987,0.8331,0.925,0.0622,2.5,21500,23250,15775,0.970000029,0.370000005,20.72999954,99964.68,74827,7.400000095,579,4758,64600,52500,29
University of California-Santa Barbara,3,4,Public,Far West,Mid-size Suburb,0.4444,27,1212,19362,0.3965,0.0213,0.2481,0.1763,0.001,0.0007,0.0843,0.0397,0.0148,31913,10571,13048,0.834,0.3798,0.807,0.9193,0.0222,4.5,15000,18057,12625,0.910000026,0.579999983,20.04999924,70987.15,51240,9.479999542,428,3995,50300,45600,30
